"","name","FGA","FGM","Pts","exFGM","exPts","FGMDiff","PtsDiff"
"201","John Salmons",48,16,40,19.5195723424247,48.9257827667362,-3.51957234242467,-8.92578276673619
"202","Rodney Stuckey",751,332,719,335.47429187031,721.051263441531,-3.47429187031025,-2.05126344153132
"203","Kris Humphries",446,211,422,214.468183065257,431.603269571909,-3.46818306525671,-9.6032695719087
"204","Malcolm Thomas",39,18,36,21.4521045286358,45.7276125535257,-3.45210452863583,-9.72761255352567
"205","Reggie Jackson",992,430,931,433.448294533495,948.943102302989,-3.44829453349513,-17.9431023029891
"206","Luis Scola",633,298,601,301.445576269638,609.76703521895,-3.44557626963814,-8.76703521895035
"207","Zoran Dragic",30,11,25,14.4146387586113,33.7393697292282,-3.41463875861133,-8.73936972922823
"208","Danny Granger",157,61,151,64.2901385548362,158.346532174013,-3.29013855483616,-7.34653217401294
"209","Lavoy Allen",292,137,274,140.290004794521,280.580009589041,-3.29000479452071,-6.58000958904142
"210","Jordan Hill",773,356,715,359.287409831919,722.603816981094,-3.28740983191875,-7.60381698109381
"211","Chris Johnson",154,62,152,65.2266812253956,164.638775199292,-3.22668122539557,-12.6387751992916
"212","Jared Cunningham",33,12,28,15.2124206734828,35.0331699244152,-3.21242067348281,-7.03316992441519
"213","Toney Douglas",51,19,43,22.2008108115032,50.8419023269152,-3.20081081150316,-7.84190232691517
"214","Elton Brand",93,42,84,45.1481595702993,90.6600584104789,-3.14815957029933,-6.66005841047887
"215","Quincy Miller",20,5,12,8.14341137788524,20.5139178328054,-3.14341137788524,-8.51391783280539
"216","Henry Walker",150,54,150,57.0900365815361,155.013752328183,-3.09003658153615,-5.01375232818256
"217","Furkan Aldemir",77,40,80,43.0071348848738,87.9913824660588,-3.00713488487385,-7.99138246605877
"218","Will Bynum",31,10,20,12.9981889799528,29.2740081498999,-2.99818897995278,-9.27400814989991
"219","Jeff Adrien",43,18,36,20.9968441237472,41.9936882474945,-2.99684412374724,-5.99368824749448
"220","Joey Dorsey",143,79,158,81.9876070201975,164.102285863599,-2.98760702019753,-6.10228586359946
"221","Doug McDermott",104,43,99,45.936887348255,106.327253304487,-2.93688734825496,-7.32725330448746
"222","Glen Rice Jr.",15,3,7,5.93318852455923,14.3214608497015,-2.93318852455923,-7.32146084970153
"223","Jeff Withey",64,32,64,34.8024121487327,69.6048242974655,-2.80241214873273,-5.60482429746547
"224","Justin Hamilton",178,85,180,87.7934220086496,187.278279314097,-2.79342200864961,-7.27827931409703
"225","Russ Smith",25,8,18,10.7243644735889,25.497434586923,-2.72436447358887,-7.49743458692304
"226","Shannon Brown",19,7,17,9.673942824515,21.6983959726804,-2.673942824515,-4.69839597268042
"227","Allen Crabbe",152,63,156,65.634254289094,162.764845786092,-2.63425428909397,-6.76484578609171
"228","Jared Sullinger",704,310,672,312.561018327603,690.567724403803,-2.56101832760299,-18.5677244038031
"229","Clint Capela",29,14,28,16.5367934798479,33.0735869596958,-2.53679347984792,-5.07358695969585
"230","Boris Diaw",631,291,636,293.532144217425,650.989107756998,-2.53214421742513,-14.9891077569977
"231","Bradley Beal",849,361,827,363.490896636934,820.830946337971,-2.49089663693411,6.16905366202934
"232","Jack Cooley",22,9,18,11.460896084545,22.9217921690899,-2.46089608454497,-4.92179216908995
"233","Chase Budinger",387,167,386,169.380113938675,390.629629547429,-2.38011393867498,-4.62962954742869
"234","Brandon Knight",872,368,858,370.346673829365,849.440942361084,-2.34667382936533,8.55905763891576
"235","Paul George",49,18,45,20.3111679871364,48.1892977248343,-2.31116798713641,-3.18929772483432
"236","Andrei Kirilenko",4,0,0,2.30307047362094,4.60614094724189,-2.30307047362094,-4.60614094724189
"237","Lucas Nogueira",8,2,4,4.28068409909694,8.56136819819389,-2.28068409909694,-4.56136819819389
"238","Dwight Powell",67,31,65,33.257842761817,70.6793547772687,-2.25784276181697,-5.67935477726867
"239","Nazr Mohammed",29,12,24,14.2199383058319,28.4398766116637,-2.21993830583187,-4.43987661166373
"240","Eric Gordon",690,284,709,286.157217639695,681.848549266609,-2.15721763969492,27.1514507333912
"241","Jonas Jerebko",377,168,390,170.150152377687,391.447438994264,-2.15015237768694,-1.44743899426396
"242","Gordon Hayward",1081,479,1078,481.10655815833,1082.17464788188,-2.1065581583299,-4.17464788187908
"243","Patrick Christopher",12,3,6,5.03422185616305,11.6045252573533,-2.03422185616305,-5.60452525735326
